,seed,actions
88,3863890088,"[2, 3, 0, 0, 3, 0, 2, 2, 0, 3, 1, 3, 1, 2, 1, 3, 1, 2, 2, 0, 3, 0, 3, 0, 2, 2, 0, 0, 3, 3, 1, 0, 2, 2, 1, 1, 1, 3, 2, 0, 3, 0, 3, 1, 2, 3, 0, 0, 2, 2, 1, 1, 1, 3, 1, 3, 1, 2, 2, 0, 3, 3, 0, 2, 3, 1, 2, 2, 0, 3, 0, 0, 3, 1, 2, 3, 0, 0, 2, 2, 1, 1, 3, 3, 1, 0, 1, 2, 0, 2, 1, 3, 1, 1, 3, 0, 0, 2, 3, 1, 2, 1, 2, 0, 3, 0, 0, 2, 0, 0, 3, 1, 3, 1, 2, 2, 1, 3, 2, 0, 3, 3, 1, 0, 1, 2, 1, 1, 2, 0, 3, 2, 1, 3, 3, 0, 2, 2, 0, 3, 1, 3, 0, 2, 0, 0, 2, 1, 3, 1, 3, 0, 1, 0, 2, 1, 1, 2, 0, 3, 3, 0, 2, 0, 2, 0, 3, 3, 1, 0, 2, 2, 1, 3, 1, 1, 2, 0, 3, 0, 3, 1]"
89,3863890089,"[3, 1, 2, 1, 1, 3, 0, 2, 3, 1, 2, 1, 1, 3, 0, 2, 0, 0, 3, 0, 1, 1, 2, 1, 1, 3, 0, 0]"
90,3863890090,"[2, 1, 0, 1, 2, 1, 2, 1, 1, 3, 3, 3, 0, 2, 1, 2, 2, 0, 0, 3, 0, 3, 1, 1, 0, 2, 2, 1, 1, 3, 0, 1, 2, 0, 3, 3, 3, 1, 2, 3, 0, 2, 0, 0, 2, 1]"
91,3863890091,"[0, 1, 2, 0, 0, 0, 0, 3, 1, 3, 1, 3, 3, 0, 2, 3, 1, 2, 2, 2, 1, 1, 3, 0, 1, 2, 0, 2, 0, 0, 3, 3, 0, 2, 1, 2, 1, 1, 1, 3, 0, 3, 0, 0, 1, 3, 3, 0, 2, 2, 2]"
92,3863890092,"[2, 2, 3, 2, 1, 2, 2, 2, 0, 0, 3, 2, 1, 1, 3, 3, 3, 0, 2, 2]"
93,3863890093,[]
94,3863890094,[]
95,3863890095,"[1, 3, 2, 0, 3, 3, 3, 1, 3, 1, 2, 0, 0, 2, 2, 1, 3]"
96,3863890096,"[1, 2]"
97,3863890097,[]
98,3863890098,"[3, 2, 0, 0, 0, 2, 2, 1, 3, 2, 0, 3, 3, 3, 3, 1, 1, 2, 0, 0, 2, 2, 1, 3, 0, 3, 3, 1, 1, 2, 1, 2, 0, 3, 0, 2, 1, 0, 0, 2, 2, 1, 3, 2, 0, 3, 3, 1, 0, 2, 2, 1, 3, 3, 3, 1, 3, 0, 0, 2, 3, 1, 1, 2, 1, 2, 0, 3, 0, 0, 2, 1, 0, 2, 3, 2, 1, 3, 3, 0, 3, 1, 1, 2, 1, 2, 0, 3, 0, 0, 2, 2, 1, 3]"
99,3863890099,[]
